station,depth,model,params
mdachine,-500,FX,"[{""r"":-10.61704352,""s"":0.52289875,""n"":1.3251983,""m"":0.01429444,""h"":5.46385499}]"
mdachine,-500,VG,"[{""r"":0.0732624,""s"":0.53105847,""a"":0.11828418,""n"":1.22931766}]"
mdachote,-100,FX,"[{""r"":-3.66394879,""s"":0.45722222,""n"":0.61309033,""m"":0.05073985,""h"":0.98979941}]"
mdachote,-100,VG,"[{""r"":-0.1166827,""s"":0.42430608,""a"":0.75422341,""n"":1.09740052}]"
mdachote,-200,FX,"[{""r"":-0.87306586,""s"":1.14295595,""n"":0.15433728,""m"":0.67172766,""h"":0.00030415}]"
mdachote,-200,VG,"[{""r"":-0.45878816,""s"":0.54304084,""a"":3.56291397,""n"":1.05166372}]"
mdachote,-500,FX,"[{""r"":0.03570482,""s"":0.27561636,""n"":1.72038389,""m"":0.38171526,""h"":1.65451832}]"
mdachote,-500,VG,"[{""r"":0.12509445,""s"":0.28860352,""a"":0.60757351,""n"":1.46091511}]"
mdadillo,-100,FX,"[{""r"":-27.5481334,""s"":0.57258031,""n"":2.39078844,""m"":0.00486794,""h"":3.90855865}]"
mdadillo,-100,VG,"[{""r"":0.12005735,""s"":0.61399576,""a"":0.20852559,""n"":1.31357247}]"
mdadillo,-200,FX,"[{""r"":-0.6703311,""s"":0.65903788,""n"":0.38755988,""m"":0.48091628,""h"":9.80732799}]"
mdadillo,-200,VG,"[{""r"":-4.30585309,""s"":0.60058115,""a"":0.58483576,""n"":1.01143791}]"
mdadillo,-500,FX,"[{""r"":0.08187514,""s"":0.48149246,""n"":-0.56003442,""m"":0.18912994,""h"":3.9103803e-10}]"
mdadillo,-500,VG,"[{""r"":0.35166369,""s"":0.52281361,""a"":0.04207254,""n"":1.29988297}]"
mdaedgar,-100,FX,"[{""r"":-5.68847257,""s"":0.56070081,""n"":0.99757869,""m"":0.03139788,""h"":0.56330343}]"
mdaedgar,-100,VG,"[{""r"":-0.0081432,""s"":0.62507813,""a"":6.17983522,""n"":1.14639607}]"
mdaedgar,-200,FX,"[{""r"":-6.42535851,""s"":0.36303151,""n"":1.94008851,""m"":0.0159446,""h"":4.91530661}]"
mdaedgar,-200,VG,"[{""r"":0.05429351,""s"":0.37453308,""a"":0.07749688,""n"":1.3792555}]"
mdaedgar,-500,FX,"[{""r"":-0.139665,""s"":0.40642874,""n"":1.90696698,""m"":0.40045181,""h"":4.36725348}]"
mdaedgar,-500,VG,"[{""r"":0.03856414,""s"":0.42024284,""a"":0.09197837,""n"":1.52093814}]"
mdafroid,-100,FX,"[{""r"":-2.35350666,""s"":0.76893571,""n"":0.04496795,""m"":0.48391348,""h"":4.61641497e-07}]"
mdafroid,-100,VG,"[{""r"":-0.0094263,""s"":0.16319537,""a"":0.01291495,""n"":1.28877869}]"
mdafroid,-200,FX,"[{""r"":-10.09638862,""s"":0.31665046,""n"":0.85222172,""m"":0.01361032,""h"":13.4902704}]"
mdafroid,-200,VG,"[{""r"":-0.10643474,""s"":0.3124101,""a"":0.06144262,""n"":1.12465216}]"
mdafroid,-500,FX,"[{""r"":-0.69367039,""s"":1.25876309,""n"":0.18923098,""m"":0.48298104,""h"":1.33438018e-13}]"
mdafroid,-500,VG,"[{""r"":-0.06252556,""s"":0.13623027,""a"":0.03058867,""n"":1.12773637}]"
mdaglidf,-100,FX,"[{""r"":-0.1721518,""s"":0.45213162,""n"":3.65513025,""m"":0.31719889,""h"":5.838663}]"
mdaglidf,-100,VG,"[{""r"":0.07515964,""s"":0.47583379,""a"":0.01793191,""n"":1.99535137}]"
mdaglidf,-200,FX,"[{""r"":0.43218989,""s"":0.10281459,""n"":-1.06817604,""m"":34.77425634,""h"":0.63899918}]"
mdaglidf,-200,VG,"[{""r"":0.09635593,""s"":0.45164544,""a"":0.05356627,""n"":1.87586318}]"
mdaglidf,-500,FX,"[{""r"":-0.33140145,""s"":0.39359886,""n"":3.65910767,""m"":0.19151656,""h"":5.26742985}]"
mdaglidf,-500,VG,"[{""r"":0.08167569,""s"":0.42031422,""a"":0.03500764,""n"":1.81582562}]"
mdahardi,-100,FX,"[{""r"":-0.63964643,""s"":0.38618547,""n"":1.41659366,""m"":0.16574872,""h"":7.84379765}]"
mdahardi,-100,VG,"[{""r"":0.02137947,""s"":0.38927056,""a"":0.04977275,""n"":1.33646079}]"
mdahardi,-200,FX,"[{""r"":-4.28894375,""s"":0.57842204,""n"":0.23147298,""m"":0.11387174,""h"":2.77439632}]"
mdahardi,-200,VG,"[{""r"":-6.05407933,""s"":0.4460953,""a"":0.22338429,""n"":1.00622153}]"
mdahardi,-500,FX,"[{""r"":-0.28875556,""s"":0.41061291,""n"":1.94697789,""m"":0.28229164,""h"":7.927223}]"
mdahardi,-500,VG,"[{""r"":0.02335447,""s"":0.42141657,""a"":0.03322989,""n"":1.49535475}]"
mdahogel,-100,FX,"[{""r"":-6.63966149,""s"":0.39826175,""n"":0.94773552,""m"":0.02166749,""h"":3.06102341}]"
mdahogel,-100,VG,"[{""r"":-0.02294498,""s"":0.39470024,""a"":0.26751559,""n"":1.16136688}]"
mdahogel,-200,FX,"[{""r"":-8.3824003,""s"":0.39528869,""n"":1.433266,""m"":0.01446094,""h"":6.15311174}]"
mdahogel,-200,VG,"[{""r"":0.04128135,""s"":0.40270682,""a"":0.09008924,""n"":1.25847149}]"
mdahogel,-500,FX,"[{""r"":-8.95056124,""s"":0.378314,""n"":1.02242264,""m"":0.01535268,""h"":4.02552799}]"
mdahogel,-500,VG,"[{""r"":-0.02135515,""s"":0.37768795,""a"":0.19493183,""n"":1.17237243}]"
mdaledge,-100,FX,"[{""r"":-10.68177107,""s"":0.36671125,""n"":0.78853662,""m"":0.01553319,""h"":7.44519085}]"
mdaledge,-100,VG,"[{""r"":-0.14380895,""s"":0.35907239,""a"":0.1266311,""n"":1.11389374}]"
mdaledge,-200,FX,"[{""r"":-11.44336408,""s"":0.39860304,""n"":0.74247559,""m"":0.01691448,""h"":11.40511996}]"
mdaledge,-200,VG,"[{""r"":-0.2943625,""s"":0.39065536,""a"":0.10341713,""n"":1.08462342}]"
mdaledge,-500,FX,"[{""r"":-0.16823914,""s"":0.64283061,""n"":0.67206011,""m"":1.04400516,""h"":54.41062719}]"
mdaledge,-500,VG,"[{""r"":-0.20293397,""s"":0.61167924,""a"":0.02867214,""n"":1.19760022}]"
mdamalta,-100,FX,"[{""r"":-5.87358505,""s"":0.66532089,""n"":0.3304296,""m"":0.07107952,""h"":5.28618576}]"
mdamalta,-100,VG,"[{""r"":-7.4627207,""s"":0.55847055,""a"":0.08868115,""n"":1.00685778}]"
mdamalta,-200,FX,"[{""r"":-31.03102478,""s"":0.61805321,""n"":1.04027659,""m"":0.00737782,""h"":10.14443926}]"
mdamalta,-200,VG,"[{""r"":-0.19295169,""s"":0.61989966,""a"":0.09788006,""n"":1.11815685}]"
